year,statefip,state,year_legalized,pot,ever_legalized,deaths,population,crude_death_rate,standard_error_for_crude_rate,low_confidence_limit_for_crude_rate,upper_confidence_limit_for_crude_rate,female_prop,male_prop,over_50_prop,under_30_prop,under_50_prop,american_indian_prop,asian_prop,black_prop,other_race_prop,white_prop,married_prop,not_married_prop,college_prop,higher_college_prop,hs_prop,less_hs_prop,some_college_prop,employed_prop,not_employed_prop,mean_children,mean_children_u5,mean_hrs_worked,median_income,sex,age_group,race_and_hispanic_origin
2006,19,Iowa,0,0,0,187,2982644,6.2696,0.45848,5.371,7.1682,0.5056088816930727,0.4943911183069273,0.3718630738984619,0.1649705100034694,0.4631664160980687,0.0034694113565398406,0.011911645657453451,0.012836822019197409,0.017289233260090204,0.9544928877067191,0.6806406846305076,0.3193593153694923,0.17271886203307504,0.06811610963339887,0.43367641956748004,0.06337458077946108,0.26211402798658495,0.7939747889441425,0.20602521105585753,0.8530126055279288,0.18220191974095062,35.59720134150572,23000,Both Sexes,All Ages,All Races-All Origins
2007,19,Iowa,0,0,0,203,2999212,6.7684,0.47505,5.8373,7.6995,0.5029551512342102,0.4970448487657898,0.37553598331208715,0.1733109282651524,0.4511530884227605,0.003360760227141036,0.011067331092826515,0.01303743191563333,0.018078572256344884,0.9544559045080543,0.676555800208599,0.3234441997914011,0.17516514080426468,0.0649553830107776,0.4353343376984587,0.05562637617336887,0.26891876231313017,0.8022945880171515,0.19770541198284852,0.8621508865453703,0.1906362266774829,35.99774017846796,24000,Both Sexes,All Ages,All Races-All Origins
2008,19,Iowa,0,0,0,209,3016734,6.928,0.47922,5.9887,7.8673,0.5023495967975866,0.49765040320241344,0.38922086209897316,0.17253582409932122,0.4382433138017056,0.0023786041654580265,0.012589197656204676,0.014677728142948309,0.016128096536520278,0.9542263734988687,0.6727968904101642,0.32720310958983584,0.1782792829378662,0.06677496084005337,0.41962058362824156,0.05319951267621976,0.28212565991761906,0.8189940244822185,0.18100597551778153,0.8352961652259674,0.18912803852178453,35.80396820792481,25000,Both Sexes,All Ages,All Races-All Origins
2009,19,Iowa,0,0,0,207,3032870,6.8252,0.47439,5.8954,7.755,0.5034690101757632,0.4965309898242368,0.4084759481961147,0.1684204440333025,0.4231036077705828,0.0030064754856614245,0.012604070305272896,0.01376040703052729,0.016709065679925996,0.9539199814986123,0.6669750231267345,0.3330249768732655,0.18709528214616097,0.071577243293247,0.402231729879741,0.051919518963922294,0.28717622571692875,0.791049953746531,0.20895004625346902,0.8148126734505088,0.18246993524514338,34.83262025901943,25000,Both Sexes,All Ages,All Races-All Origins
2010,19,Iowa,0,0,0,253,3046355,8.305,0.52213,7.2816,9.3284,0.5046057586466601,0.4953942413533399,0.40380047505938244,0.1608249811714269,0.43537454376919066,0.0032443079775215803,0.012513759341868953,0.016221539887607904,0.01929204565204797,0.9487283471409536,0.658652453507908,0.341347546492092,0.1812757082440183,0.0753142923353224,0.40617577197149646,0.05903481837668733,0.27819940907247553,0.7845431898499508,0.21545681015004925,0.86217484502636,0.19743931406059903,34.15242454087249,24000,Both Sexes,All Ages,All Races-All Origins
2011,19,Iowa,0,0,0,250,3062309,8.1638,0.51632,7.1518,9.1758,0.4971819645732689,0.5028180354267311,0.4210950080515298,0.16591902461467678,0.41298596733379345,0.004945939728548425,0.014492753623188406,0.01995629169542213,0.01725327812284334,0.9433517368299977,0.6375086266390614,0.36249137336093856,0.17161260639521508,0.06780538302277432,0.4178743961352657,0.05653324131585001,0.2861743731308949,0.7665056360708534,0.23349436392914655,0.8096388313779618,0.17724867724867724,33.663963653094086,24000,Both Sexes,All Ages,All Races-All Origins
2012,19,Iowa,0,0,0,259,3074186,8.425,0.5235,7.3989,9.4511,0.504211245162759,0.49578875483724105,0.42277486910994766,0.17231959936262237,0.40490553152743003,0.003073070794445709,0.015137719098565901,0.018381516048258592,0.016844980651035738,0.946562713407694,0.6331094923742318,0.36689050762576825,0.1781242886410198,0.06868882312770316,0.4094013202822672,0.05030730707944457,0.29347826086956524,0.77151149556112,0.22848850443888002,0.7926246300933303,0.16941725472342362,33.455725017072616,24000,Both Sexes,All Ages,All Races-All Origins
2013,19,Iowa,0,0,0,275,3090416,8.8985,0.5366,7.8467,9.9502,0.49914985264112444,0.5008501473588756,0.424733620494219,0.1749036499659941,0.4003627295397869,0.0036839718884606664,0.014509181591475856,0.020006801178871006,0.014849240535026072,0.9469508048061664,0.6304692813420993,0.3695307186579007,0.1814214463840399,0.06852187712536839,0.41028111539333484,0.05157560643844933,0.28819995465880754,0.7739174790296984,0.22608252097030151,0.8164248469734754,0.16906597143504873,33.5792337338472,25000,Both Sexes,All Ages,All Races-All Origins
2014,19,Iowa,0,0,0,264,3107126,8.4966,0.52293,7.4717,9.5215,0.4986011989723094,0.5013988010276905,0.4296888381387382,0.1752212389380531,0.39508992292320866,0.0036540108478447047,0.01512988866685698,0.01787039680274051,0.015015700827861833,0.9483300028546959,0.6275192691978304,0.3724807308021696,0.18155866400228377,0.07490722238081644,0.39451898372823296,0.048529831572937485,0.3004852983157294,0.7729374821581502,0.22706251784184983,0.8131886954039395,0.17881815586640024,33.53982300884956,25000,Both Sexes,All Ages,All Races-All Origins
2015,19,Iowa,0,0,0,309,3123899,9.8915,0.56271,8.7886,10.9944,0.49880790190735697,0.5011920980926431,0.431255676657584,0.17228655767484105,0.39645776566757496,0.004143960036330608,0.015497275204359673,0.02054950045413261,0.017313805631244322,0.9424954586739328,0.6310740236148955,0.36892597638510444,0.17915531335149865,0.07180971843778383,0.39861489554950047,0.05199818346957311,0.298421889191644,0.7805404178019982,0.21945958219800182,0.8017711171662125,0.16905086285195278,33.974795640326974,27000,Both Sexes,All Ages,All Races-All Origins
2016,19,Iowa,0,0,0,314,3134693,10.0169,0.56529,8.909,11.1249,0.4979743223965763,0.5020256776034236,0.42613409415121256,0.17592011412268188,0.39794579172610556,0.0034807417974322395,0.014664764621968616,0.020199714693295293,0.019457917261055634,0.9421968616262483,0.6243081312410842,0.37569186875891586,0.1862482168330956,0.07475035663338088,0.38887303851640515,0.053808844507845933,0.2963195435092725,0.7816833095577747,0.2183166904422254,0.8179743223965763,0.17711840228245362,33.969700427960056,28000,Both Sexes,All Ages,All Races-All Origins
2017,19,Iowa,0,0,0,341,3145711,10.8402,0.58703,9.6896,11.9907,0.4980712502836397,0.5019287497163604,0.4186521443158611,0.17545949625595644,0.4058883594281824,0.00436805082822782,0.018493306103925574,0.021329702745631948,0.020195144088949398,0.9356137962332652,0.6179373723621511,0.3820626276378489,0.1935557068300431,0.07601542999773088,0.382573179033356,0.05309734513274336,0.29475833900612664,0.7844338552303154,0.21556614476968458,0.8211368277739959,0.18141592920353983,34.35869071931019,30000,Both Sexes,All Ages,All Races-All Origins
2018,19,Iowa,0,0,0,287,3156145,9.0934,0.53676,8.0413,10.1454,0.493825761866999,0.506174238133001,0.41616630791888526,0.18165854763792907,0.4021751444431857,0.0042483289905970315,0.01795627053359012,0.02016540160870058,0.01806955930667271,0.9395604395604396,0.6106264869151468,0.3893735130848533,0.1967825988444545,0.07301461425172766,0.3866545825308712,0.05047014840829274,0.2930780559646539,0.7870737509912767,0.21292624900872323,0.8032740455420868,0.17820324005891017,34.29613685283788,30000,Both Sexes,All Ages,All Races-All Origins
2000,20,Kansas,0,0,0,103,2688418,3.8312,0.3775,3.0913,4.5712,0.5059747354045749,0.49402526459542506,0.2884943666780471,0.17514510071696826,0.5363605326049846,0.0054626152270399455,0.017412086036189826,0.03379993171730966,0.022874701263229772,0.9204506657562308,0.6848753840901332,0.31512461590986685,0.20655513827244792,0.09798566063502902,0.3892113349265961,0.05735745988391942,0.2488904062820075,0.8043700921816319,0.19562990781836803,0.9286445885967907,0.1812905428473882,36.531922157733014,20200,Both Sexes,All Ages,All Races-All Origins
2001,20,Kansas,0,0,0,138,2702162,5.107,0.43474,4.2549,5.9591,0.5100788781770377,0.4899211218229623,0.29721735319894826,0.18766432953549517,0.5151183172655566,0.0071209465381244525,0.015775635407537247,0.026950043821209465,0.023334794040315514,0.9268185801928133,0.6900744960560912,0.30992550394390883,0.19358019281332164,0.08742331288343558,0.3955959684487292,0.062116564417177916,0.2612839614373357,0.7934925503943909,0.20650744960560913,0.9549737072743207,0.19894829097283084,36.14702015775635,19450,Both Sexes,All Ages,All Races-All Origins
2002,20,Kansas,0,0,0,170,2713535,6.2649,0.4805,5.3231,7.2067,0.5177597284519335,0.4822402715480664,0.31434113225845556,0.1808704085343678,0.5047884592071766,0.008122196629894532,0.01975997090556431,0.027518487089344162,0.024972723966541398,0.9196266214086556,0.6871135895260031,0.31288641047399685,0.18753788337980362,0.08788944114438113,0.41168626500181843,0.061704449024124135,0.2511819614498727,0.7710025457631228,0.2289974542368772,0.9089586616559583,0.19226572917929446,35.59886046793551,20000,Both Sexes,All Ages,All Races-All Origins
2003,20,Kansas,0,0,0,188,2723004,6.9041,0.50354,5.9172,7.8911,0.5102334329018696,0.4897665670981303,0.3177342626396725,0.1920566434340082,0.4902090939263193,0.007744219493306782,0.01681601947118044,0.026551609691337536,0.02522402920677066,0.9236641221374046,0.6908950105100121,0.3091049894899878,0.1973669653722757,0.09680274366633478,0.385772762473725,0.05896669985617878,0.2610908286314858,0.7778515322491426,0.2221484677508574,0.9328465538223255,0.20765571412766898,35.38190065272707,20000,Both Sexes,All Ages,All Races-All Origins
2004,20,Kansas,0,0,0,224,2734373,8.192,0.54735,7.1192,9.2648,0.5056736807315192,0.49432631926848075,0.3415225294700892,0.18563402005067753,0.4728434504792332,0.008703316073592596,0.018838823399801696,0.025118431199735596,0.02533876831552275,0.9220006610113474,0.6956042745400463,0.30439572545995375,0.2017186295031398,0.09033821747273328,0.3892255150380082,0.05750798722044728,0.2612096507656715,0.7804340641181007,0.2195659358818993,0.895009364327421,0.19532885314531231,35.44827586206897,20000,Both Sexes,All Ages,All Races-All Origins
2005,20,Kansas,0,0,0,241,2745299,8.7786,0.56548,7.6703,9.887,0.5134804710121614,0.4865195289878386,0.35679814683739786,0.16903674152242457,0.4741651116401776,0.00926581301074577,0.01602213499774789,0.03493983656135384,0.03950839714304099,0.9002638182871116,0.6903674152242455,0.30963258477575445,0.19194389035454604,0.09130686571005726,0.3948909336593527,0.06646933916736375,0.25538897110868025,0.7735666945499002,0.22643330545009974,0.9184737146901744,0.19297342513351778,35.42841515989962,21500,Both Sexes,All Ages,All Races-All Origins
2006,20,Kansas,0,0,0,257,2762931,9.3017,0.58023,8.1645,10.439,0.5041817500936213,0.49581824990637874,0.35576082886031707,0.1815004368992635,0.46273873424041945,0.010984895768318561,0.019285981775059295,0.0380102359256023,0.037261265759580574,0.8944576207714393,0.6723879665459993,0.32761203345400075,0.19292223193109476,0.09480714018224941,0.39246036699538134,0.07196355011858695,0.24784671077268755,0.775933091998502,0.22406690800149795,0.8802271876170266,0.18930220946198975,35.12177006615903,22000,Both Sexes,All Ages,All Races-All Origins
2007,20,Kansas,0,0,0,270,2783785,9.699,0.59026,8.5421,10.8559,0.5067571814696084,0.4932428185303916,0.36733924193852535,0.17178955308316046,0.4608712049783142,0.009994342824816142,0.019674398139417938,0.03746307121754981,0.038405933748192844,0.8944622540700232,0.6791753095731976,0.32082469042680245,0.20045257401470865,0.09881199321138978,0.38387076497579986,0.0701489722798416,0.24671569551826011,0.7717644100823433,0.22823558991765666,0.8982965616946382,0.19881827896159407,35.01703438305362,23000,Both Sexes,All Ages,All Races-All Origins
2008,20,Kansas,0,0,0,219,2808076,7.7989,0.527,6.766,8.8319,0.5043022820800599,0.49569771791994016,0.3813443072702332,0.1739618406285073,0.4446938521012595,0.00916573138795361,0.01964085297418631,0.038658186806334954,0.03684998129442574,0.8956852475370994,0.6705324853473001,0.32946751465269986,0.20894126449682004,0.09359022321985284,0.3658810325476992,0.06783888265369747,0.26374859708193044,0.7912457912457912,0.20875420875420875,0.85447063224841,0.188427484723781,35.0943384461903,25000,Both Sexes,All Ages,All Races-All Origins
2009,20,Kansas,0,0,0,304,2832704,10.7318,0.61551,9.5254,11.9382,0.5058874836458788,0.49411251635412123,0.38477353435922995,0.18017568998816272,0.4350507756526073,0.011089651735094387,0.02186779639897826,0.037069341474051463,0.035387203289514675,0.8945860071023612,0.6571553174257055,0.34284468257429446,0.2099557659958881,0.09500965671920752,0.3632795464457043,0.06971528253691359,0.26203974830228643,0.7615101862812286,0.23848981371877143,0.8640583141237306,0.18802566818266775,34.174070151392435,24000,Both Sexes,All Ages,All Races-All Origins
2010,20,Kansas,0,0,0,269,2853118,9.4283,0.57485,8.3016,10.555,0.5064461354631784,0.4935538645368216,0.39104458839066725,0.17986290170429534,0.42909250990503744,0.0105653732469656,0.020438966102760834,0.039620149676121,0.036915917237909567,0.892459593736243,0.6461857744795925,0.35381422552040753,0.20457832840701842,0.09798125904031194,0.3619269228350418,0.07301427583170869,0.2624992138859191,0.750896170052198,0.24910382994780203,0.8495692094836803,0.19539651594239357,33.10659706936671,22900,Both Sexes,All Ages,All Races-All Origins
2011,20,Kansas,0,0,0,280,2871238,9.7519,0.58279,8.6096,10.8942,0.5039067344660796,0.49609326553392036,0.41132332878581174,0.17890363388317004,0.4097730373310182,0.011038075158129728,0.021083963785191617,0.041981892595808014,0.03757906486419447,0.8883170035966762,0.6328909835048989,0.3671090164951011,0.19335235024184547,0.08979288106163959,0.3710777626193724,0.07565422299392285,0.27012278308321963,0.7387448840381992,0.26125511596180084,0.8453429244698003,0.19285625697631154,32.624953491256356,21000,Both Sexes,All Ages,All Races-All Origins
2012,20,Kansas,0,0,0,318,2885905,11.0191,0.61792,9.808,12.2302,0.498960498960499,0.501039501039501,0.41414944356120825,0.17958909135379725,0.4062614650849945,0.011067628714687538,0.021218050629815334,0.04280298397945457,0.03613794790265378,0.8887733887733887,0.6333007215360157,0.36669927846398437,0.19383637030695855,0.09532836003424239,0.36828910358322126,0.07178671884554237,0.2707594472300355,0.738045738045738,0.26195426195426197,0.8468876115934939,0.18026170967347438,32.75724593371652,22000,Both Sexes,All Ages,All Races-All Origins
2013,20,Kansas,0,0,0,331,2893957,11.4376,0.62867,10.2054,12.6698,0.4966500182726276,0.5033499817273724,0.41393592398586915,0.177670849068096,0.40839322694603486,0.010598124010232671,0.02217078815933731,0.047813375563406015,0.034657083688634426,0.8847606285783896,0.6360701668899987,0.3639298331100012,0.20233889633329272,0.10049945182117188,0.3594834937263979,0.0678523571689609,0.2698258009501766,0.739797782921184,0.2602022170788159,0.8584480448288464,0.1836399074186868,32.749847728103305,23700,Both Sexes,All Ages,All Races-All Origins
2014,20,Kansas,0,0,0,332,2904021,11.4324,0.62744,10.2027,12.6622,0.4982513115163627,0.5017486884836373,0.4193105171121659,0.18242568073944543,0.3982638021483887,0.009555333499875094,0.021171621284036973,0.04296777416937297,0.04184361728703472,0.8844616537596802,0.6207219585311017,0.3792780414688983,0.20003747189607793,0.09761428928303773,0.37428178865850614,0.06707469397951536,0.26099175618286286,0.7445041219085686,0.2554958780914314,0.8339995003747189,0.17967774169372971,32.78790906819885,24000,Both Sexes,All Ages,All Races-All Origins
2015,20,Kansas,0,0,0,329,2911641,11.2995,0.62296,10.0785,12.5205,0.498502620414275,0.5014973795857249,0.4223234339905166,0.1778762166209134,0.39980034938857,0.012166209134015473,0.02582979785375593,0.04130272023958073,0.03818317943598702,0.8825180933366609,0.6242201147991016,0.37577988520089844,0.2067007736461193,0.10119790366857999,0.3619915148490142,0.07137509358622411,0.2587347142500624,0.7534314948839531,0.24656850511604692,0.8200648864487148,0.18286748190666333,33.20283254304967,25000,Both Sexes,All Ages,All Races-All Origins
2016,20,Kansas,0,0,0,313,2907289,10.766,0.60853,9.5733,11.9588,0.5029671717171718,0.4970328282828283,0.4128787878787879,0.18428030303030302,0.4028409090909091,0.010164141414141414,0.023295454545454546,0.039835858585858586,0.03901515151515152,0.887689393939394,0.6203914141414142,0.37960858585858587,0.2071338383838384,0.10580808080808081,0.35991161616161615,0.06597222222222222,0.2611742424242424,0.7546085858585858,0.24539141414141413,0.8185606060606061,0.18661616161616162,33.26843434343434,26000,Both Sexes,All Ages,All Races-All Origins
2017,20,Kansas,0,0,0,333,2913123,11.431,0.62642,10.2033,12.6588,0.49493389348819966,0.5050661065118003,0.4092425552946991,0.18534536018781664,0.40541208451748423,0.009390831582849375,0.02428024218460398,0.04497714073891017,0.039787470653651305,0.8815643148399852,0.6136784875818608,0.3863215124181391,0.2138885456567404,0.10892129000370691,0.35314469294451994,0.0635734585444211,0.26047201285061167,0.7556530334857284,0.2443469665142716,0.8417150623996046,0.18349190658593847,33.31440751266527,26000,Both Sexes,All Ages,All Races-All Origins
2018,20,Kansas,0,0,0,345,2911505,11.8495,0.63796,10.5991,13.0999,0.495868787766679,0.504131212233321,0.4089283512146997,0.1825749167591565,0.4084967320261438,0.010112220989024541,0.024787273399926008,0.04143544210136885,0.04390183746454557,0.879763226045135,0.6165371809100999,0.3834628190899001,0.2131582192625478,0.10445184363053397,0.36089530151683313,0.06091996547046492,0.26057467011962016,0.760697989887779,0.239302010112221,0.8516463189049205,0.1788753237143914,33.41540263904304,27000,Both Sexes,All Ages,All Races-All Origins
2000,21,Kentucky,0,0,0,241,4041769,5.9627,0.38409,5.2099,6.7156,0.5206032857527606,0.47939671424723945,0.3062213843253434,0.1834096417990843,0.5103689738755723,0.0021545919741448962,0.007810395906275249,0.049286291408564505,0.014274171828709938,0.9264745488823054,0.6808510638297872,0.3191489361702128,0.11338540263937517,0.06733099919202801,0.4516563425801239,0.15809318610288176,0.20953406948559117,0.6870455157554538,0.3129544842445462,0.8311338540263937,0.17048208995421493,32.04497710746028,16000,Both Sexes,All Ages,All Races-All Origins
2001,21,Kentucky,0,0,0,345,4068132,8.4806,0.45658,7.5857,9.3754,0.5210049703819705,0.47899502961802953,0.32552597535235245,0.17934227548171852,0.49513174916592906,0.0016340981820657725,0.008034316061823381,0.04371212637025941,0.015047320759855655,0.9315721386259957,0.6968747872267992,0.3031252127732008,0.10396949683393478,0.06876829849526793,0.4711649758289644,0.1658609654796759,0.19023626336215702,0.6626268128276708,0.3373731871723293,0.8359773949751481,0.17689112820861988,30.81813848982093,15000,Both Sexes,All Ages,All Races-All Origins
2002,21,Kentucky,0,0,0,426,4089875,10.416,0.50466,9.4268,11.4051,0.5196564744206708,0.48034352557932924,0.340564151921226,0.16850521951580663,0.4909306285629674,0.0016287850744058636,0.008291996742429851,0.04405123269415859,0.012660102169245577,0.9333678833197602,0.691937513881691,0.308062486118309,0.1103872066335974,0.07151847190345746,0.4612423187976605,0.16732064855260234,0.18953135411268232,0.6490708521507367,0.3509291478492633,0.8139483230917303,0.17598282372103355,30.549492855556377,15000,Both Sexes,All Ages,All Races-All Origins
2003,21,Kentucky,0,0,0,560,4117170,13.6016,0.57477,12.475,14.7281,0.5182213761218385,0.48177862387816156,0.34593418547729127,0.169295621430514,0.4847701930921947,0.002651618166983954,0.007410932825673103,0.044873538210497686,0.011422355180853957,0.9336415556159913,0.6881289094370411,0.3118710905629589,0.10558879521348925,0.07206962197443569,0.4581180310035355,0.160524884416644,0.20369866739189557,0.6454990481370683,0.35450095186293173,0.8103073157465325,0.17323905357628502,29.93914876257819,14500,Both Sexes,All Ages,All Races-All Origins
2004,21,Kentucky,0,0,0,526,4146101,12.6866,0.55316,11.6024,13.7708,0.5223358073099006,0.4776641926900994,0.3456798767679597,0.16720347290295476,0.4871166503290856,0.0030107828035289175,0.009242403024786445,0.048522615880128836,0.01085282173365075,0.928371376557905,0.6791765859123372,0.3208234140876628,0.11307940064416748,0.07821033468701863,0.4516174205293376,0.15593054194090464,0.20116230219857162,0.6620921439574289,0.33790785604257106,0.8369976193810391,0.1768659851561406,30.53339868365775,15000,Both Sexes,All Ages,All Races-All Origins
2005,21,Kentucky,0,0,0,638,4182742,15.2532,0.60388,14.0696,16.4368,0.52281154280187,0.4771884571981299,0.36188134773496694,0.1650814122198936,0.4730372400451395,0.0030227309366435595,0.010881831371916815,0.05545703691762051,0.013058197646300177,0.917580203127519,0.6632677736579075,0.33673222634209254,0.13759471223601483,0.0888279864581654,0.4291874899242302,0.13078349185877802,0.21360631952281153,0.6755602128002579,0.32443978719974204,0.8133967435112043,0.1627841367080445,30.953570852813154,18000,Both Sexes,All Ages,All Races-All Origins
2006,21,Kentucky,0,0,0,728,4219239,17.2543,0.63949,16.0009,18.5077,0.5150497708958761,0.4849502291041239,0.366092589666614,0.17289461210301785,0.46101279823036817,0.001698530573550324,0.010981197661557907,0.0602780850055301,0.014575762363722548,0.9124664243956391,0.6413730447148048,0.3586269552851951,0.13900300205403698,0.09243166376994785,0.4262126718280929,0.12853531363564544,0.2138173487122768,0.6787012166218992,0.3212987833781008,0.768604834887028,0.15519829356928425,30.738544793806287,18000,Both Sexes,All Ages,All Races-All Origins
2007,21,Kentucky,0,0,0,708,4256672,16.6327,0.6251,15.4075,17.8579,0.5151263823064771,0.4848736176935229,0.3721169036334913,0.17010268562401265,0.45778041074249604,0.0020537124802527647,0.010110584518167456,0.057266982622432856,0.014020537124802527,0.9165481832543444,0.635781990521327,0.364218009478673,0.14415481832543445,0.09146919431279621,0.4226698262243286,0.1226303317535545,0.21907582938388626,0.6836097946287519,0.316390205371248,0.7958135860979463,0.1727093206951027,30.923538704581357,18000,Both Sexes,All Ages,All Races-All Origins
2008,21,Kentucky,0,0,0,764,4289878,17.8094,0.64432,16.5465,19.0722,0.5171969045571797,0.4828030954428203,0.3853279137028062,0.1634487610411944,0.4512233252559994,0.0023059485656218245,0.011099820214179629,0.061908856405846945,0.013288517157820683,0.9113968576565309,0.6380833268193543,0.3619166731806457,0.14277339169858516,0.09040100054717423,0.4245290393183772,0.1169780348628156,0.22531853357304776,0.6880716016571563,0.31192839834284375,0.7666692722582662,0.15997029625576487,30.317400140701945,19000,Both Sexes,All Ages,All Races-All Origins
2009,21,Kentucky,0,0,0,769,4317074,17.813,0.64235,16.554,19.072,0.5128923112822308,0.4871076887177692,0.38342472679189515,0.17131412126161863,0.4452611519464862,0.0028390308404309104,0.009917162524792906,0.06296425932407732,0.014817407537043518,0.9094621397736553,0.630887099910551,0.3691129000894489,0.1441294286936569,0.09574923190603975,0.4194765293820247,0.11519464862131995,0.22545016139695873,0.6631276008244856,0.3368723991755143,0.8103294053591569,0.16765838291914595,29.499163847081242,18000,Both Sexes,All Ages,All Races-All Origins
2010,21,Kentucky,0,0,0,1007,4339367,23.2061,0.73129,21.7728,24.6395,0.5138829560017086,0.4861170439982913,0.3929556133742379,0.16908081239563513,0.437963574230127,0.0026018407052153312,0.010834530697836978,0.06687118946837016,0.014368374043726458,0.9053240650848511,0.6090248922371947,0.3909751077628053,0.14302357190012038,0.08993825482505534,0.42173119490505223,0.11545182711351015,0.22985515125626188,0.6432759892819696,0.3567240107180304,0.7752708632674459,0.15315910061745175,28.480719195371055,15500,Both Sexes,All Ages,All Races-All Origins
2011,21,Kentucky,0,0,0,1058,4369356,24.2141,0.74443,22.755,25.6732,0.50554625773557,0.49445374226443,0.4011598489861052,0.17413303234343985,0.42470711867045496,0.002062818666562877,0.01004164558440042,0.06861791149340288,0.015334916125014595,0.9039427081306193,0.5985677032654809,0.40143229673451913,0.1343167399680847,0.09088078464951543,0.42459035534970613,0.1165687152142607,0.23364340481843304,0.6280309812011053,0.37196901879889466,0.7584556104775619,0.14653796753979684,27.574047405908225,15000,Both Sexes,All Ages,All Races-All Origins
2012,21,Kentucky,0,0,0,1078,4380415,24.6095,0.74954,23.1404,26.0786,0.5095827776719375,0.4904172223280625,0.40998285387692895,0.1711564107449038,0.41886073537816726,0.0019432272813869307,0.01291674604686607,0.06827967231853686,0.016041150695370546,0.9008192036578396,0.5895980186702229,0.4104019813297771,0.1426557439512288,0.09216993713088208,0.42232806248809296,0.11186892741474566,0.2309773290150505,0.6379500857306154,0.36204991426938465,0.7336254524671366,0.1444084587540484,28.17287102305201,15000,Both Sexes,All Ages,All Races-All Origins
2013,21,Kentucky,0,0,0,1019,4395295,23.1839,0.72627,21.7604,24.6074,0.5077376848234122,0.49226231517658775,0.40293419137363057,0.17287213667356163,0.42419367195280777,0.002145100743124186,0.011261778901401976,0.06665134451850149,0.017505554278709874,0.9024362215582624,0.5953420669577875,0.40465793304221254,0.15069332720447406,0.10162414770550832,0.40561556730253584,0.1061824867846472,0.2358844710028346,0.6491611123879568,0.3508388876120432,0.7612426262161955,0.1488163640542404,28.609706580862635,17000,Both Sexes,All Ages,All Races-All Origins
2014,21,Kentucky,0,0,0,1077,4413457,24.4026,0.74358,22.9452,25.8601,0.5086014899009292,0.4913985100990707,0.4117963290069887,0.17483296213808464,0.41337070885492666,0.002111972966746026,0.012134244681668075,0.06397358113816143,0.017471776361262577,0.9043084248521619,0.5877044773826895,0.4122955226173105,0.14806850472313954,0.10122110436986406,0.40496121649642886,0.10425466554028108,0.24149450887028645,0.6520236540972275,0.34797634590277243,0.7498656017202979,0.15002687965594041,28.613316949543044,17600,Both Sexes,All Ages,All Races-All Origins
2015,21,Kentucky,0,0,0,1273,4425092,28.7678,0.80629,27.1874,30.3481,0.5008779802551996,0.4991220197448004,0.41534319272642134,0.1736840051508175,0.41097280212276116,0.002926600850665314,0.013306278534358293,0.06543879502087642,0.018613181410231397,0.8997151441838686,0.5836422523120147,0.41635774768798534,0.15265150037070277,0.10243102977328598,0.407695009170016,0.09969953564599836,0.2375229250399969,0.6553244624809771,0.3446755375190229,0.747297771881219,0.14855425917977133,28.956218051274046,19000,Both Sexes,All Ages,All Races-All Origins
2016,21,Kentucky,0,0,0,1419,4436974,31.9813,0.84899,30.3172,33.6453,0.5067859226132607,0.4932140773867393,0.41559401127746454,0.1762395489014194,0.40816643982111606,0.0022554929029749175,0.01485514291269687,0.06731479681119969,0.01695508458098386,0.8986194827921447,0.5764728757534513,0.4235271242465487,0.16029554734590706,0.10344157106747034,0.3933501847170912,0.09780283881003306,0.24510985805949834,0.6648648648648648,0.33513513513513515,0.7436515652342991,0.15065137079525567,29.182694925140968,20000,Both Sexes,All Ages,All Races-All Origins
2017,21,Kentucky,0,0,0,1566,4454189,35.1579,0.88844,33.4166,36.8993,0.5058685903684929,0.4941314096315071,0.3975043868200429,0.18069799181126925,0.42179762136868787,0.0015987521934100214,0.015636576330668745,0.06172743224800156,0.01863911093780464,0.902398128290115,0.5772665236888282,0.42273347631117175,0.16334568141938,0.10454279586664067,0.40046792747124194,0.0895301228309612,0.24211347241177616,0.6731136673815559,0.32688633261844413,0.7708715149151881,0.15375316825891988,29.400896860986546,20600,Both Sexes,All Ages,All Races-All Origins
2018,21,Kentucky,0,0,0,1315,4468402,29.4289,0.81154,27.8382,31.0195,0.5067967933077727,0.4932032066922273,0.4005654312381395,0.1851206382401921,0.4143139305216684,0.0018976801827969483,0.014755431625421169,0.05847953216374269,0.019364083497928043,0.9055032725301112,0.574532357383525,0.42546764261647496,0.1678478757600403,0.10851632392238875,0.40025560590217263,0.08539560822586267,0.23798458618953566,0.6754192324077302,0.32458076759226984,0.7530692072344216,0.16064443669881104,29.570698268850936,22000,Both Sexes,All Ages,All Races-All Origins
2000,22,Louisiana,0,0,0,248,4468976,5.5494,0.35239,4.8587,6.24,0.530634278002699,0.4693657219973009,0.30013495276653174,0.19082321187584345,0.5090418353576248,0.005668016194331984,0.013225371120107961,0.2534412955465587,0.015654520917678813,0.7120107962213226,0.6043184885290148,0.3956815114709852,0.151417004048583,0.07206477732793522,0.43238866396761133,0.14628879892037785,0.1978407557354926,0.6817813765182186,0.31821862348178137,0.8950067476383265,0.17597840755735492,32.42024291497976,15000,Both Sexes,All Ages,All Races-All Origins
