year,statefip,pot,state,deaths,population,crude_death_rate,standard_error_for_crude_rate,low_confidence_limit_for_crude_rate,upper_confidence_limit_for_crude_rate,female_prop,male_prop,over_50_prop,under_30_prop,under_50_prop,american_indian_prop,asian_prop,black_prop,other_race_prop,white_prop,married_prop,not_married_prop,college_prop,higher_college_prop,hs_prop,less_hs_prop,some_college_prop,mean_children,mean_children_u5,mean_hrs_worked
2006,1,0,Alabama,398,4628981,8.598,0.43098,7.7533,9.4427,0.5238147297839,0.4761852702161,0.373820196056995,0.16431616923581502,0.46186363470719,0.006267993148937721,0.011807149885208265,0.21613643817645128,0.01796581757224591,0.7478226012171568,0.6283663131810066,0.3716336868189935,0.15072337013957218,0.08461790751065923,0.39681498487664446,0.1316642979483255,0.23617943952479867,0.781859261688714,0.14824532633650378,30.97343391275828
2006,2,0,Alaska,76,675302,11.2542,1.29095,8.867,14.0863,0.47959724430312667,0.5204027556968733,0.3388977212506624,0.18547959724430313,0.47562268150503445,0.21091679915209327,0.04292527821939587,0.016693163751987282,0.059353471118177,0.6701112877583466,0.6104928457869634,0.38950715421303655,0.1589825119236884,0.08664546899841018,0.4003709591944886,0.08823529411764706,0.26576576576576577,0.9925808161102279,0.2143614202437732,36.16057233704292
2006,4,0,Arizona,876,6029141,14.5294,0.4909,13.5673,15.4916,0.5077778743373599,0.4922221256626401,0.3480200457692419,0.19049274354740592,0.4614872106833522,0.03722371889574462,0.028330581385243764,0.029373424871817155,0.10955650183946004,0.7955157730077345,0.6109904116334984,0.38900958836650157,0.1826714173981055,0.09901219547521799,0.3410967237333797,0.1119318675588772,0.26528779583441964,0.8742214883693984,0.1930129486399583,32.099128066973726
2006,5,0,Arkansas,285,2821761,10.1001,0.59828,8.9275,11.2727,0.5176775467390634,0.48232245326093665,0.3780465231072993,0.1692478558647498,0.45270562102795087,0.009748873943357808,0.010612698216819892,0.12260134509779724,0.029801937434441907,0.8272351453075831,0.6521256247300549,0.3478743752699451,0.12698216819892638,0.06342938236564448,0.46584809033133834,0.12803109767384463,0.21570926143024619,0.789535385944345,0.15635219349663726,31.29456407725057
2006,6,0,California,3494,36021202,9.6998,0.1641,9.3782,10.0215,0.5058998064509791,0.49410019354902096,0.32388512816482123,0.18958961712663214,0.48652525470854663,0.008861990705717065,0.14127604806303606,0.052096126072133854,0.16700726054449172,0.6307585746146213,0.5929772162345381,0.4070227837654618,0.20464124657359284,0.11176719098474205,0.30246210074373914,0.13868229468575302,0.24244716701217295,0.9334761207667293,0.18457404478154504,31.688990302899306
2006,8,0,Colorado,627,4720423,13.2827,0.53046,12.243,14.3224,0.5083545348277522,0.49164546517224783,0.34202021591143505,0.17341676407893833,0.48456302000962664,0.009729766898164065,0.025716839716702192,0.02575122051846249,0.07553462146737262,0.8632675513992987,0.6469779275252698,0.3530220724747301,0.23904971463934538,0.12851543697999038,0.31063054390428385,0.07237158770542529,0.2494327167709551,0.8232482981503129,0.18393728941758922,34.17472323454583
2006,9,0,Connecticut,407,3517460,11.5708,0.57355,10.4467,12.695,0.5186815336463224,0.48131846635367764,0.36116001564945227,0.14915884194053208,0.48968114241001565,0.0020050860719874803,0.032081377151799685,0.07306338028169014,0.0509585289514867,0.841891627543036,0.6320422535211268,0.36795774647887325,0.22833528951486698,0.15933098591549297,0.3387128325508607,0.06352699530516431,0.21009389671361503,0.8772985133020345,0.1711658841940532,33.47168427230047
2006,10,0,Delaware,78,859268,9.0775,1.02782,7.1754,11.3291,0.5252590673575129,0.47474093264248707,0.37262521588946457,0.1668825561312608,0.46049222797927464,0.0045336787564766836,0.037780656303972364,0.15284974093264247,0.033246977547495685,0.7715889464594128,0.5898100172711571,0.41018998272884283,0.1901986183074266,0.11830742659758203,0.38860103626943004,0.08937823834196891,0.2135146804835924,0.803972366148532,0.16407599309153714,32.73143350604491
2006,11,0,District of Columbia,101,570681,17.6982,1.76103,14.2465,21.1498,0.532560706401766,0.467439293598234,0.29856512141280356,0.2582781456953642,0.4431567328918322,0.004690949227373068,0.033112582781456956,0.47323399558498896,0.048013245033112585,0.4409492273730684,0.30849889624724064,0.6915011037527594,0.26600441501103755,0.25938189845474613,0.23896247240618101,0.09464679911699779,0.14100441501103753,0.4315673289183223,0.10844370860927152,34.121136865342166
2006,12,0,Florida,2591,18166990,14.2621,0.28019,13.713,14.8113,0.515883242758698,0.48411675724130204,0.37122527872709954,0.1615683418305414,0.46720637944235904,0.003510934319382972,0.027387155209442172,0.12635628513268718,0.05314023194576727,0.7896053933927204,0.5993239583916933,0.4006760416083067,0.18566866491119952,0.09508469195286384,0.3778923188974172,0.09692419743402991,0.2444301268044895,0.750107382299662,0.14814088557715652,32.350542514053075
2006,13,0,Georgia,830,9155813,9.0653,0.31466,8.4485,9.682,0.5177606809625144,0.4822393190374857,0.3294047034430076,0.18120805369127516,0.4893872428657172,0.003055601025808916,0.03031956494061585,0.2558883978101526,0.036739964715083395,0.6739964715083392,0.6068823775486077,0.3931176224513923,0.19070224259289573,0.1001073097979302,0.37036430766992234,0.12220585293101253,0.2166202870082392,0.8277404921700223,0.17431476328186102,32.778887251959766
2006,15,0,Hawaii,86,1309731,6.5662,0.70806,5.2521,8.1092,0.5103484411841761,0.48965155881582395,0.37791459261199895,0.17644747183652082,0.44563793555148024,0.004715745349751114,0.4979041131778884,0.01414723604925334,0.1829971181556196,0.30023578726748756,0.59549384333246,0.40450615666754,0.21089861147498035,0.10125753209326696,0.35721771024364685,0.05593397956510349,0.27469216662300233,0.835079905685093,0.15575058946816872,33.09077809798271
